"","Value","SE","Coefficient"
"cg10511346",-1.50567199869193,NA,"cg10511346"
"cg10576238",0.942256429157334,NA,"cg10576238"
"cg11427164",0.0355640800092955,NA,"cg11427164"
"cg11474748",-0.0265123627590074,NA,"cg11474748"
"cg11539171",-3.51162219575807,NA,"cg11539171"
"cg11740731",-0.550463366869905,NA,"cg11740731"
"cg11815205",0.35098253488625,NA,"cg11815205"
"cg12353802",-4.91612366668116,NA,"cg12353802"
"cg12391783",-0.586019016367249,NA,"cg12391783"
"cg12536109",-0.201972825673882,NA,"cg12536109"
"cg13044649",-0.0115156497681343,NA,"cg13044649"
"cg13081604",-3.77879009115699,NA,"cg13081604"
"cg13129556",0.177326408342363,NA,"cg13129556"
"cg13279847",0.00885612076651353,NA,"cg13279847"
"cg13307717",-0.0872780169843666,NA,"cg13307717"
"cg13424393",-0.162058119660661,NA,"cg13424393"
"cg13529355",-0.0331106520964127,NA,"cg13529355"
"cg14141561",-0.100317084159542,NA,"cg14141561"
"cg14512326",-0.153223192455455,NA,"cg14512326"
"cg14876307",-0.169737069928659,NA,"cg14876307"
"cg14889891",0.207816986664379,NA,"cg14889891"
"cg15248119",0.0347828546769798,NA,"cg15248119"
"cg15368732",-1.50627382409475,NA,"cg15368732"
"cg15520342",-0.467846111621411,NA,"cg15520342"
"cg15559074",-0.524603927309141,NA,"cg15559074"
"cg15656112",-1.22110861124132,NA,"cg15656112"
"cg16037947",0.834199425790884,NA,"cg16037947"
"cg16384774",-0.494728652169384,NA,"cg16384774"
"cg16493540",-0.281493992645675,NA,"cg16493540"
"cg16796107",-0.416309900799413,NA,"cg16796107"
"cg16865151",-0.100697433591278,NA,"cg16865151"
"cg17352215",-0.410996960616626,NA,"cg17352215"
"cg17587997",0.104942491565596,NA,"cg17587997"
"cg18115174",-0.544839918067841,NA,"cg18115174"
"cg18247753",-0.149242434693187,NA,"cg18247753"
"cg18781121",-0.485160120209829,NA,"cg18781121"
"cg19128982",0.00835635114795985,NA,"cg19128982"
"cg19144691",-0.735842855300614,NA,"cg19144691"
"cg19236776",0.312252629327307,NA,"cg19236776"
"cg19912160",-0.0342466397384929,NA,"cg19912160"
"cg19979853",-0.0573763986356512,NA,"cg19979853"
"cg20018618",-0.0196272663466816,NA,"cg20018618"
"cg20311471",-0.000717882153662033,NA,"cg20311471"
"cg20468868",-0.265997798673332,NA,"cg20468868"
"cg20792833",0.550470256888785,NA,"cg20792833"
"cg21665024",-0.276954181304324,NA,"cg21665024"
"cg21785034",0.0704117370342545,NA,"cg21785034"
"cg21959598",0.119207797177059,NA,"cg21959598"
"cg22702093",0.0565071899760484,NA,"cg22702093"
"cg22800543",-0.169840658193233,NA,"cg22800543"
"cg22825487",-0.000426444144950862,NA,"cg22825487"
"cg23257239",-0.405353646673964,NA,"cg23257239"
"cg23265542",-0.103056577410571,NA,"cg23265542"
"cg23686408",-0.00453657947560366,NA,"cg23686408"
"cg23729340",-0.171461693412676,NA,"cg23729340"
"cg24060856",-0.148400604255486,NA,"cg24060856"
"cg24171409",-0.256376293704724,NA,"cg24171409"
"cg24186951",-0.265949366087249,NA,"cg24186951"
"cg24338141",0.0384157606757421,NA,"cg24338141"
"cg24471782",-0.00670067781805308,NA,"cg24471782"
"cg24559261",-0.599692501145833,NA,"cg24559261"
"cg24781413",-0.722602298767774,NA,"cg24781413"
"cg24783876",-0.125132646270484,NA,"cg24783876"
"cg25060738",0.618649344397997,NA,"cg25060738"
"cg25304758",-0.458706836385745,NA,"cg25304758"
"cg25459370",-0.132927698568083,NA,"cg25459370"
"cg25567227",-0.409412866380561,NA,"cg25567227"
"cg25813359",-0.140823155332797,NA,"cg25813359"
"cg25919177",-0.171285150223672,NA,"cg25919177"
"cg26556630",-0.291538045816419,NA,"cg26556630"
"cg27086356",-0.56009775222215,NA,"cg27086356"
"cg27388680",-0.347099619877218,NA,"cg27388680"
